csv_row_index,policy_number,report_number,has_report,has_image,image_path
0,7453,2,True,True,Insurance_Fraud_Investigation_Images/2.jpeg
1,1984,3,True,True,Insurance_Fraud_Investigation_Images/3.png
2,2629,4,True,True,Insurance_Fraud_Investigation_Images/4.png
3,6532,5,True,True,Insurance_Fraud_Investigation_Images/5.png
4,5312,6,True,True,Insurance_Fraud_Investigation_Images/6.png
5,13294,7,True,True,Insurance_Fraud_Investigation_Images/7.png
6,13473,8,True,True,Insurance_Fraud_Investigation_Images/8.png
7,11192,9,True,True,Insurance_Fraud_Investigation_Images/9.png
8,3112,10,True,True,Insurance_Fraud_Investigation_Images/10.png
9,2904,11,True,True,Insurance_Fraud_Investigation_Images/11.png
10,6043,12,True,True,Insurance_Fraud_Investigation_Images/12.png
11,1286,13,True,False,
12,3333,14,True,False,
13,6726,15,True,False,
14,1003,16,True,True,Insurance_Fraud_Investigation_Images/16.png
15,8007,17,True,False,
16,1126,18,True,False,
17,1270,19,True,False,
18,4130,20,True,False,
19,2177,21,True,False,
20,6019,22,True,False,
21,11087,23,True,True,Insurance_Fraud_Investigation_Images/23.png
22,9504,24,True,False,
23,9,25,True,False,
24,687,26,True,False,
25,1470,27,True,False,
26,13373,28,True,False,
27,28,29,True,True,Insurance_Fraud_Investigation_Images/29.jpeg
28,10652,30,True,False,
29,237,31,True,False,
30,3159,32,True,False,
31,5169,33,True,False,
32,406,34,True,True,Insurance_Fraud_Investigation_Images/34.png
33,11011,35,True,False,
34,3940,36,True,True,Insurance_Fraud_Investigation_Images/36.jpeg
35,10721,37,True,False,
36,1426,38,True,False,
37,4903,39,True,False,
38,2031,40,True,False,
39,1830,41,True,False,
40,10369,42,True,False,
41,10887,43,True,False,
42,7820,44,True,False,
43,161,45,True,True,Insurance_Fraud_Investigation_Images/45.jpeg
44,6046,46,True,False,
45,8130,47,True,False,
46,641,48,True,False,
47,3306,49,True,False,
48,1656,50,True,False,
49,4313,51,True,False,
50,103,52,True,False,
51,4139,53,True,False,
52,5482,54,True,False,
53,12631,55,True,False,
54,4888,56,True,False,
55,1575,57,True,False,
56,3958,58,True,False,
57,3044,59,True,False,
58,3494,60,True,False,
59,14084,61,True,True,Insurance_Fraud_Investigation_Images/61.jpeg
60,959,62,True,False,
61,1313,63,True,True,Insurance_Fraud_Investigation_Images/63.jpeg
62,4558,64,True,False,
63,1432,65,True,False,
64,1128,66,True,False,
65,1987,67,True,False,
66,7614,68,True,False,
67,2553,69,True,False,
68,14283,70,True,False,
69,58,71,True,True,Insurance_Fraud_Investigation_Images/71.jpeg
70,2741,72,True,False,
71,2,73,True,False,
72,1279,74,True,False,
73,9585,75,True,False,
74,248,76,True,True,Insurance_Fraud_Investigation_Images/76.jpeg
75,1103,77,True,False,
76,117,78,True,False,
77,6570,79,True,False,
78,11901,80,True,True,Insurance_Fraud_Investigation_Images/80.jpeg
79,1569,81,True,False,
80,2749,82,True,False,
81,10465,83,True,False,
82,3769,84,True,False,
83,11048,85,True,False,
84,3384,86,True,False,
85,2563,87,True,False,
86,9410,88,True,False,
87,7678,89,True,False,
88,1430,90,True,False,
89,10184,91,True,True,Insurance_Fraud_Investigation_Images/91.jpeg
90,114,92,True,True,Insurance_Fraud_Investigation_Images/92.jpeg
91,7451,93,True,False,
92,4551,94,True,True,Insurance_Fraud_Investigation_Images/94.jpeg
93,5075,95,True,False,
94,127,96,True,False,
95,9992,97,True,False,
96,2737,98,True,False,
97,1317,99,True,False,
98,2809,100,True,True,Insurance_Fraud_Investigation_Images/100.jpeg
99,2387,101,True,False,
