Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,vehicle_price_midpoint,coverage_multiplier,severity_proxy,severity_bucket,days_policy_accident_numeric,days_policy_claim_numeric,quick_claim_flag,filing_delay_flag,past_claims_numeric,repeat_offender_flag,address_change_numeric,recent_address_change_flag,no_evidence_flag,evidence_score,vehicle_age_numeric,high_value_vehicle_flag,policyholder_age_numeric,young_driver_flag,suspicion_score,fault_x_basepolicy,make_fraud_rate,month_numeric,weekday_numeric,FraudFound_P,curation_category
Aug,1,Friday,Pontiac,Urban,Thursday,Aug,2,Male,Married,37,Third Party,Sedan - Liability,Sport,20000 to 29000,7453,6,400,3,more than 30,more than 30,2 to 4,7 years,36 to 40,No,Yes,External,none,no change,1 vehicle,1995,Liability,24500,0.4,9800,Low,4,4,0,1,2,0,0,0,0,1,7,0,5,0,0,Third Party_Liability,0.055512119,8,4,0,correct
Sep,4,Sunday,Mazda,Rural,Monday,Sep,4,Male,Single,40,Third Party,Sedan - Collision,Sedan,20000 to 29000,1984,14,400,2,more than 30,more than 30,1,7 years,36 to 40,Yes,Yes,External,more than 5,no change,1 vehicle,1994,Collision,24500,0.7,17150,Medium,4,4,0,1,1,0,0,0,0,2,7,0,5,0,0,Third Party_Collision,0.052251487,9,6,0,correct
Aug,1,Saturday,Pontiac,Urban,Monday,Aug,2,Male,Married,75,Third Party,Sedan - All Perils,Sedan,20000 to 29000,2629,11,400,1,more than 30,more than 30,1,more than 7,over 65,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,24500,1.0,24500,Medium,4,4,0,1,1,0,0,0,0,1,8,0,8,0,0,Third Party_All Perils,0.055512119,8,5,0,correct
Nov,3,Thursday,Honda,Rural,Friday,Nov,3,Male,Single,22,Third Party,Sedan - Liability,Sport,20000 to 29000,6532,11,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,Yes,Yes,External,none,4 to 8 years,2 vehicles,1995,Liability,24500,0.4,9800,Low,4,4,0,1,2,0,1,0,0,2,5,0,3,0,0,Third Party_Liability,0.063905748,11,3,0,correct
Feb,3,Monday,Honda,Rural,Friday,Mar,1,Male,Single,0,Policy Holder,Sedan - Liability,Sport,more than 69000,5312,10,400,3,more than 30,more than 30,none,new,16 to 17,Yes,No,External,none,no change,1 vehicle,1994,Liability,80000,0.4,32000,High,4,4,0,1,0,0,0,0,0,1,0,1,0,1,0,Policy Holder_Liability,0.063905748,2,0,0,correct
Dec,5,Wednesday,Honda,Rural,Thursday,Jan,1,Female,Single,28,Third Party,Sedan - Collision,Sedan,20000 to 29000,13294,7,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,Yes,External,none,4 to 8 years,2 vehicles,1996,Collision,24500,0.7,17150,Medium,4,4,0,1,2,0,1,0,0,1,5,0,4,0,0,Third Party_Collision,0.063905748,12,2,0,correct
May,5,Wednesday,Dodge,Urban,Monday,Jun,2,Male,Married,39,Policy Holder,Sedan - Liability,Sport,30000 to 39000,13473,15,400,2,more than 30,more than 30,none,more than 7,36 to 40,Yes,No,External,3 to 5,no change,1 vehicle,1996,Liability,34500,0.4,13800,Low,4,4,0,1,0,0,0,0,0,1,8,0,5,0,0,Policy Holder_Liability,0.018348624,5,2,0,correct
Mar,1,Monday,Pontiac,Rural,Tuesday,Mar,2,Male,Married,43,Policy Holder,Sedan - Liability,Sport,30000 to 39000,11192,7,700,2,more than 30,more than 30,2 to 4,7 years,36 to 40,Yes,Yes,External,1 to 2,no change,1 vehicle,1995,Liability,34500,0.4,13800,Low,4,4,0,1,2,0,0,0,0,2,7,0,5,0,0,Policy Holder_Liability,0.055512119,3,0,0,correct
Dec,4,Friday,Chevrolet,Urban,Tuesday,Dec,4,Male,Married,60,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,3112,13,500,4,more than 30,more than 30,1,more than 7,51 to 65,Yes,Yes,External,none,no change,1 vehicle,1994,All Perils,34500,1.0,34500,High,4,4,0,1,1,0,0,0,0,2,8,0,7,0,0,Policy Holder_All Perils,0.055919096,12,4,0,correct
Nov,3,Friday,Accura,Urban,Friday,Dec,3,Male,Married,74,Policy Holder,Utility - All Perils,Utility,more than 69000,2904,4,400,2,more than 30,more than 30,none,7 years,over 65,Yes,No,External,1 to 2,no change,1 vehicle,1994,All Perils,80000,1.0,80000,High,4,4,0,1,0,0,0,0,0,1,7,1,8,0,0,Policy Holder_All Perils,0.125,11,4,0,correct
